iid,gender,age,race,field,career,goal,date,income,wave
1,0,21.0,4.0,Law,lawyer,2.0,7.0,"69,487.00",1
1,0,21.0,4.0,Law,lawyer,2.0,7.0,"69,487.00",1
1,0,21.0,4.0,Law,lawyer,2.0,7.0,"69,487.00",1
1,0,21.0,4.0,Law,lawyer,2.0,7.0,"69,487.00",1
1,0,21.0,4.0,Law,lawyer,2.0,7.0,"69,487.00",1
1,0,21.0,4.0,Law,lawyer,2.0,7.0,"69,487.00",1
1,0,21.0,4.0,Law,lawyer,2.0,7.0,"69,487.00",1
1,0,21.0,4.0,Law,lawyer,2.0,7.0,"69,487.00",1
1,0,21.0,4.0,Law,lawyer,2.0,7.0,"69,487.00",1
1,0,21.0,4.0,Law,lawyer,2.0,7.0,"69,487.00",1
2,0,24.0,2.0,law,law,1.0,5.0,"65,929.00",1
2,0,24.0,2.0,law,law,1.0,5.0,"65,929.00",1
2,0,24.0,2.0,law,law,1.0,5.0,"65,929.00",1
2,0,24.0,2.0,law,law,1.0,5.0,"65,929.00",1
2,0,24.0,2.0,law,law,1.0,5.0,"65,929.00",1
2,0,24.0,2.0,law,law,1.0,5.0,"65,929.00",1
2,0,24.0,2.0,law,law,1.0,5.0,"65,929.00",1
2,0,24.0,2.0,law,law,1.0,5.0,"65,929.00",1
2,0,24.0,2.0,law,law,1.0,5.0,"65,929.00",1
2,0,24.0,2.0,law,law,1.0,5.0,"65,929.00",1
3,0,25.0,2.0,Economics,Economist,6.0,3.0,,1
3,0,25.0,2.0,Economics,Economist,6.0,3.0,,1
3,0,25.0,2.0,Economics,Economist,6.0,3.0,,1
3,0,25.0,2.0,Economics,Economist,6.0,3.0,,1
3,0,25.0,2.0,Economics,Economist,6.0,3.0,,1
3,0,25.0,2.0,Economics,Economist,6.0,3.0,,1
3,0,25.0,2.0,Economics,Economist,6.0,3.0,,1
3,0,25.0,2.0,Economics,Economist,6.0,3.0,,1
3,0,25.0,2.0,Economics,Economist,6.0,3.0,,1
3,0,25.0,2.0,Economics,Economist,6.0,3.0,,1
