attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,shar1_s,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr1_3,sinc1_3,intel1_3,fun1_3,amb1_3,shar1_3,attr2_3,sinc2_3,intel2_3,fun2_3,amb2_3,shar2_3
15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,,,,,,,19.44,16.67,13.89,22.22,11.11,16.67,,,,,,,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,
15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,,,,,,,19.44,16.67,13.89,22.22,11.11,16.67,,,,,,,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,
15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,,,,,,,19.44,16.67,13.89,22.22,11.11,16.67,,,,,,,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,
15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,,,,,,,19.44,16.67,13.89,22.22,11.11,16.67,,,,,,,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,
15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,,,,,,,19.44,16.67,13.89,22.22,11.11,16.67,,,,,,,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,
15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,,,,,,,19.44,16.67,13.89,22.22,11.11,16.67,,,,,,,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,
15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,,,,,,,19.44,16.67,13.89,22.22,11.11,16.67,,,,,,,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,
15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,,,,,,,19.44,16.67,13.89,22.22,11.11,16.67,,,,,,,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,
15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,,,,,,,19.44,16.67,13.89,22.22,11.11,16.67,,,,,,,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,
15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,,,,,,,19.44,16.67,13.89,22.22,11.11,16.67,,,,,,,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,
45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0,,,,,,,18.92,18.92,21.62,27.03,5.41,8.11,,,,,,,30.0,5.0,40.0,15.0,0.0,10.0,,,,,,
45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0,,,,,,,18.92,18.92,21.62,27.03,5.41,8.11,,,,,,,30.0,5.0,40.0,15.0,0.0,10.0,,,,,,
45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0,,,,,,,18.92,18.92,21.62,27.03,5.41,8.11,,,,,,,30.0,5.0,40.0,15.0,0.0,10.0,,,,,,
45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0,,,,,,,18.92,18.92,21.62,27.03,5.41,8.11,,,,,,,30.0,5.0,40.0,15.0,0.0,10.0,,,,,,
45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0,,,,,,,18.92,18.92,21.62,27.03,5.41,8.11,,,,,,,30.0,5.0,40.0,15.0,0.0,10.0,,,,,,
45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0,,,,,,,18.92,18.92,21.62,27.03,5.41,8.11,,,,,,,30.0,5.0,40.0,15.0,0.0,10.0,,,,,,
45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0,,,,,,,18.92,18.92,21.62,27.03,5.41,8.11,,,,,,,30.0,5.0,40.0,15.0,0.0,10.0,,,,,,
45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0,,,,,,,18.92,18.92,21.62,27.03,5.41,8.11,,,,,,,30.0,5.0,40.0,15.0,0.0,10.0,,,,,,
45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0,,,,,,,18.92,18.92,21.62,27.03,5.41,8.11,,,,,,,30.0,5.0,40.0,15.0,0.0,10.0,,,,,,
45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0,,,,,,,18.92,18.92,21.62,27.03,5.41,8.11,,,,,,,30.0,5.0,40.0,15.0,0.0,10.0,,,,,,
35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,,,,,,,24.14,13.79,20.69,27.59,10.34,3.45,,,,,,,20.0,20.0,20.0,20.0,0.0,20.0,,,,,,
20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,,,,,,,24.14,13.79,20.69,27.59,10.34,3.45,,,,,,,20.0,20.0,20.0,20.0,0.0,20.0,,,,,,
20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,,,,,,,24.14,13.79,20.69,27.59,10.34,3.45,,,,,,,20.0,20.0,20.0,20.0,0.0,20.0,,,,,,
20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,,,,,,,24.14,13.79,20.69,27.59,10.34,3.45,,,,,,,20.0,20.0,20.0,20.0,0.0,20.0,,,,,,
20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,,,,,,,24.14,13.79,20.69,27.59,10.34,3.45,,,,,,,20.0,20.0,20.0,20.0,0.0,20.0,,,,,,
20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,,,,,,,24.14,13.79,20.69,27.59,10.34,3.45,,,,,,,20.0,20.0,20.0,20.0,0.0,20.0,,,,,,
20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,,,,,,,24.14,13.79,20.69,27.59,10.34,3.45,,,,,,,20.0,20.0,20.0,20.0,0.0,20.0,,,,,,
20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,,,,,,,24.14,13.79,20.69,27.59,10.34,3.45,,,,,,,20.0,20.0,20.0,20.0,0.0,20.0,,,,,,
20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,,,,,,,24.14,13.79,20.69,27.59,10.34,3.45,,,,,,,20.0,20.0,20.0,20.0,0.0,20.0,,,,,,
20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,,,,,,,24.14,13.79,20.69,27.59,10.34,3.45,,,,,,,20.0,20.0,20.0,20.0,0.0,20.0,,,,,,
20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0,,,,,,,15.79,13.16,18.42,15.79,15.79,21.05,,,,,,,30.0,10.0,20.0,20.0,10.0,10.0,,,,,,
20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0,,,,,,,15.79,13.16,18.42,15.79,15.79,21.05,,,,,,,30.0,10.0,20.0,20.0,10.0,10.0,,,,,,
20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0,,,,,,,15.79,13.16,18.42,15.79,15.79,21.05,,,,,,,30.0,10.0,20.0,20.0,10.0,10.0,,,,,,
20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0,,,,,,,15.79,13.16,18.42,15.79,15.79,21.05,,,,,,,30.0,10.0,20.0,20.0,10.0,10.0,,,,,,
20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0,,,,,,,15.79,13.16,18.42,15.79,15.79,21.05,,,,,,,30.0,10.0,20.0,20.0,10.0,10.0,,,,,,
20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0,,,,,,,15.79,13.16,18.42,15.79,15.79,21.05,,,,,,,30.0,10.0,20.0,20.0,10.0,10.0,,,,,,
20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0,,,,,,,15.79,13.16,18.42,15.79,15.79,21.05,,,,,,,30.0,10.0,20.0,20.0,10.0,10.0,,,,,,
20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0,,,,,,,15.79,13.16,18.42,15.79,15.79,21.05,,,,,,,30.0,10.0,20.0,20.0,10.0,10.0,,,,,,
20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0,,,,,,,15.79,13.16,18.42,15.79,15.79,21.05,,,,,,,30.0,10.0,20.0,20.0,10.0,10.0,,,,,,
20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0,,,,,,,15.79,13.16,18.42,15.79,15.79,21.05,,,,,,,30.0,10.0,20.0,20.0,10.0,10.0,,,,,,
10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0,,,,,,,10.26,25.64,20.51,23.08,2.56,17.95,,,,,,,,,,,,,,,,,,
10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0,,,,,,,10.26,25.64,20.51,23.08,2.56,17.95,,,,,,,,,,,,,,,,,,
10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0,,,,,,,10.26,25.64,20.51,23.08,2.56,17.95,,,,,,,,,,,,,,,,,,
10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0,,,,,,,10.26,25.64,20.51,23.08,2.56,17.95,,,,,,,,,,,,,,,,,,
10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0,,,,,,,10.26,25.64,20.51,23.08,2.56,17.95,,,,,,,,,,,,,,,,,,
10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0,,,,,,,10.26,25.64,20.51,23.08,2.56,17.95,,,,,,,,,,,,,,,,,,
10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0,,,,,,,10.26,25.64,20.51,23.08,2.56,17.95,,,,,,,,,,,,,,,,,,
10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0,,,,,,,10.26,25.64,20.51,23.08,2.56,17.95,,,,,,,,,,,,,,,,,,
10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0,,,,,,,10.26,25.64,20.51,23.08,2.56,17.95,,,,,,,,,,,,,,,,,,
10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0,,,,,,,10.26,25.64,20.51,23.08,2.56,17.95,,,,,,,,,,,,,,,,,,
15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
